B	 K	 xi	   gamma	 trainacc	 trainauroc	 trainauprc	 testacc	 testauroc	 testauprc
10	 2	 5	   -1.000	   0.5515	   0.5815	   0.6671	   0.5654	   0.5945	   0.6392
10	 2	 5	    0.125	   0.7787	   0.8639	   0.8751	   0.6897	   0.7614	   0.7569
10	 2	 5	    0.250	   0.8168	   0.9038	   0.9105	   0.6911	   0.7591	   0.7500
10	 2	 5	    0.500	   0.8428	   0.9167	   0.9229	   0.6644	   0.7375	   0.7199
10	 2	 5	    1.000	   0.8688	   0.9540	   0.9542	   0.6183	   0.7298	   0.6953
10	 2	 5	    2.000	   0.8550	   0.9621	   0.9644	   0.5587	   0.7258	   0.6930
10	 2	 5	    4.000	   0.8485	   0.9822	   0.9825	   0.5114	   0.7153	   0.6678
10	 2	 5	    8.000	   0.8495	   0.9837	   0.9836	   0.5053	   0.7127	   0.6687
10	 3	 0	   -1.000	   0.5100	   0.5179	   0.6126	   0.5337	   0.5513	   0.6083
10	 3	 0	    0.125	   0.5253	   0.5467	   0.6341	   0.4745	   0.4726	   0.5107
10	 3	 0	    0.250	   0.5653	   0.6294	   0.6553	   0.4917	   0.5142	   0.5267
10	 3	 0	    0.500	   0.7042	   0.8282	   0.8230	   0.5837	   0.6612	   0.6450
10	 3	 0	    1.000	   0.7068	   0.9063	   0.9100	   0.5688	   0.7122	   0.6788
10	 3	 0	    2.000	   0.6697	   0.9398	   0.9390	   0.5367	   0.7216	   0.6857
10	 3	 0	    4.000	   0.6565	   0.9610	   0.9618	   0.5132	   0.7202	   0.6784
10	 3	 0	    8.000	   0.7082	   0.9789	   0.9802	   0.5074	   0.7189	   0.6768
10	 3	 1	   -1.000	   0.5097	   0.5170	   0.6012	   0.5269	   0.5424	   0.5951
10	 3	 1	    0.125	   0.6787	   0.7449	   0.7874	   0.6216	   0.6584	   0.6647
10	 3	 1	    0.250	   0.7117	   0.7916	   0.8169	   0.6182	   0.6602	   0.6610
10	 3	 1	    0.500	   0.7612	   0.8455	   0.8519	   0.6059	   0.6602	   0.6544
